size	result	log2(size)	log2((result))	count	log2((count))
3	3.24249e-07	1.58496	-21.5564	1	0
4	8.45909e-07	2	-20.173	35	5.12928
5	2.00462e-06	2.32193	-18.9282	90	6.49185
6	3.44467e-06	2.58496	-18.1472	142	7.14975
7	6.18744e-06	2.80735	-17.3022	225	7.81378
8	9.48334e-06	3	-16.6862	323	8.33539
9	1.36871e-05	3.16993	-16.1568	448	8.80735
10	2.04315e-05	3.32193	-15.5788	590	9.20457
11	2.58789e-05	3.45943	-15.2379	767	9.58308
12	3.24402e-05	3.58496	-14.9119	941	9.87805
13	4.05273e-05	3.70044	-14.5907	1167	10.1886
15	6.06689e-05	3.90689	-14.0087	1653	10.6909
16	7.20825e-05	4	-13.76	1907	10.8971
18	9.33838e-05	4.16993	-13.3865	2525	11.3021
20	0.000122009	4.32193	-13.0007	3227	11.656
22	0.000159424	4.45943	-12.6148	4026	11.9751
24	0.000183838	4.58496	-12.4093	4902	12.2592
26	0.000232422	4.70044	-12.071	5909	12.5287
29	0.000300537	4.85798	-11.7002	7562	12.8846
32	0.00035498	5	-11.46	9427	13.2026
35	0.00044751	5.12928	-11.1258	11544	13.4949
39	0.000566406	5.2854	-10.7859	14652	13.8388
43	0.00069043	5.42626	-10.5002	18219	14.1532
47	0.000873047	5.55459	-10.1617	22226	14.44
52	0.00106543	5.70044	-9.87435	27890	14.7675
57	0.00131738	5.83289	-9.56811	34136	15.059
63	0.00162012	5.97728	-9.26969	42634	15.3797
69	0.00197266	6.10852	-8.98564	52337	15.6755
76	0.00243945	6.24793	-8.67923	64949	15.987
84	0.00298047	6.39232	-8.39025	80987	16.3054
92	0.00397656	6.52356	-7.97426	99783	16.6065
102	0.00482812	6.67243	-7.69432	126362	16.9472
112	0.00565234	6.80735	-7.46694	156066	17.2518
123	0.00664453	6.94251	-7.23362	192784	17.5566
135	0.00828906	7.07682	-6.91458	238975	17.8665
149	0.0103125	7.21917	-6.59946	300235	18.1957
164	0.0127344	7.35755	-6.29513	375171	18.5172
180	0.0157891	7.49185	-5.98493	468410	18.8374
198	0.0188594	7.62936	-5.72857	587560	19.1644
218	0.024125	7.76818	-5.37333	737880	19.493
240	0.0291094	7.90689	-5.10237	929618	19.8263
264	0.0375625	8.04439	-4.73456	1172344	20.161
291	0.0456563	8.18488	-4.45304	1483170	20.5003
320	0.058375	8.32193	-4.09851	1875823	20.8391
352	0.0689375	8.45943	-3.85857	2382076	21.1838
387	0.0890625	8.59619	-3.48904	3025146	21.5286
426	0.114875	8.73471	-3.12186	3854777	21.8782
468	0.138125	8.87036	-2.85595	4904015	22.2255
515	0.1765	9.00843	-2.50226	6288271	22.5842
567	0.218625	9.1472	-2.19347	8043076	22.9393
623	0.26925	9.28309	-1.89298	10299718	23.2961
686	0.359	9.42206	-1.47794	13304049	23.6654
754	0.43275	9.55842	-1.20839	17123811	24.0295
830	0.574	9.69697	-0.800877	22145581	24.4005
913	0.6775	9.83447	-0.561707	28628874	24.771
1004	0.88	9.97154	-0.184425	37106698	25.1452
1105	1.13	10.1098	0.176323	48191310	25.5223
1215	1.446	10.2467	0.532068	62594650	25.8995
1337	1.898	10.3848	0.92448	81649282	26.2829
1471	2.35	10.5226	1.23266	106623486	26.668
1618	3.056	10.66	1.61164	139370109	27.0543
1780	3.979	10.7977	1.99241	182363649	27.4422
1958	4.983	10.9352	2.31701	238903548	27.8319
