size	result	log2(size)	log2((result))	count	log2((count))
3	3.00169e-07	1.58496	-21.6677	0	-inf
4	5.44071e-07	2	-20.8097	13	3.70044
5	1.04237e-06	2.32193	-19.8717	48	5.58496
6	1.45912e-06	2.58496	-19.3865	71	6.14975
7	2.18773e-06	2.80735	-18.8021	114	6.83289
8	2.92015e-06	3	-18.3855	156	7.2854
9	4.06265e-06	3.16993	-17.9091	213	7.73471
10	5.06973e-06	3.32193	-17.5897	267	8.0607
11	6.43158e-06	3.45943	-17.2464	347	8.43879
12	7.54547e-06	3.58496	-17.016	406	8.66534
13	9.20105e-06	3.70044	-16.7298	491	8.93958
15	1.27411e-05	3.90689	-16.2602	695	9.44087
16	1.46484e-05	4	-16.0589	778	9.60363
18	1.85547e-05	4.16993	-15.7179	1015	9.98726
20	2.36969e-05	4.32193	-15.3649	1297	10.341
22	2.96173e-05	4.45943	-15.0432	1555	10.6027
24	3.51868e-05	4.58496	-14.7946	1897	10.8895
26	4.32739e-05	4.70044	-14.4961	2340	11.1923
29	5.41382e-05	4.85798	-14.173	2902	11.5028
32	6.62231e-05	5	-13.8823	3585	11.8078
35	8.17261e-05	5.12928	-13.5788	4390	12.1
39	0.000100525	5.2854	-13.2802	5361	12.3883
43	0.000126953	5.42626	-12.9434	6724	12.7151
47	0.000154663	5.55459	-12.6586	8193	13.0002
52	0.000184692	5.70044	-12.4026	9827	13.2625
57	0.000228027	5.83289	-12.0985	12054	13.5572
63	0.000282715	5.97728	-11.7884	14904	13.8634
69	0.000342285	6.10852	-11.5125	18172	14.1494
76	0.000409912	6.24793	-11.2524	21755	14.4091
84	0.000497559	6.39232	-10.9728	26704	14.7048
92	0.000615234	6.52356	-10.6666	32738	14.9987
102	0.000750977	6.67243	-10.3789	40505	15.3058
112	0.000910645	6.80735	-10.1008	48800	15.5746
123	0.00109082	6.94251	-9.84037	58908	15.8462
135	0.00137402	7.07682	-9.50738	71680	16.1293
149	0.001625	7.21917	-9.26534	87647	16.4194
164	0.0019502	7.35755	-9.00217	105834	16.6914
180	0.00238477	7.49185	-8.71194	129529	16.9829
198	0.00288672	7.62936	-8.43635	157307	17.2632
218	0.00354102	7.76818	-8.14162	190932	17.5427
240	0.00429688	7.90689	-7.8625	232382	17.8261
264	0.00517578	8.04439	-7.59401	281704	18.1038
291	0.00660156	8.18488	-7.24298	342264	18.3848
320	0.00816406	8.32193	-6.9365	415335	18.6639
352	0.00907031	8.45943	-6.78463	503929	18.9429
387	0.0115703	8.59619	-6.43343	616601	19.234
426	0.0138125	8.73471	-6.17788	745329	19.5075
468	0.0168438	8.87036	-5.89164	898596	19.7773
515	0.0205313	9.00843	-5.60603	1110110	20.0823
567	0.0241875	9.1472	-5.36959	1321796	20.3341
623	0.0294531	9.28309	-5.08544	1600915	20.6105
686	0.0355313	9.42206	-4.81477	1946072	20.8921
754	0.0427187	9.55842	-4.54899	2354046	21.1667
830	0.0530938	9.69697	-4.23531	2848778	21.4419
913	0.064625	9.83447	-3.95176	3445194	21.7162
1004	0.0743125	9.97154	-3.75025	4156714	21.987
1105	0.0918125	10.1098	-3.44517	5028316	22.2616
1215	0.110875	10.2467	-3.17299	6075775	22.5346
1337	0.129125	10.3848	-2.95316	7369107	22.8131
1471	0.154625	10.5226	-2.69315	8927785	23.0899
1618	0.193125	10.66	-2.37239	10828354	23.3683
1780	0.229	10.7977	-2.12658	13051520	23.6377
1958	0.282	10.9352	-1.82623	15869803	23.9198
