size	result	log2(size)	log2((result))	count	log2((count))
3	3.19481e-07	1.58496	-21.5778	0	-inf
4	7.01904e-07	2	-20.4422	17	4.08746
5	1.72043e-06	2.32193	-19.1488	61	5.93074
6	2.65694e-06	2.58496	-18.5218	92	6.52356
7	4.83704e-06	2.80735	-17.6574	151	7.2384
8	7.13348e-06	3	-17.097	210	7.71425
9	1.03149e-05	3.16993	-16.5649	286	8.15987
10	1.30768e-05	3.32193	-16.2226	347	8.43879
11	1.76086e-05	3.45943	-15.7934	451	8.81698
12	2.03247e-05	3.58496	-15.5864	525	9.03617
13	2.59857e-05	3.70044	-15.2319	630	9.29921
15	3.84521e-05	3.90689	-14.6666	911	9.83131
16	4.43115e-05	4	-14.462	1019	9.99294
18	5.77087e-05	4.16993	-14.0809	1308	10.3531
20	7.84302e-05	4.32193	-13.6382	1708	10.7381
22	9.33838e-05	4.45943	-13.3865	2013	10.9751
24	0.000120422	4.58496	-13.0196	2453	11.2603
26	0.00014917	4.70044	-12.7108	3092	11.5943
29	0.00017749	4.85798	-12.46	3762	11.8773
32	0.000237793	5	-12.038	4670	12.1892
35	0.000280762	5.12928	-11.7984	5734	12.4853
39	0.000334961	5.2854	-11.5437	6921	12.7568
43	0.00043457	5.42626	-11.1681	8775	13.0992
47	0.000530273	5.55459	-10.881	10701	13.3855
52	0.000629883	5.70044	-10.6326	12710	13.6337
57	0.000802246	5.83289	-10.2837	15603	13.9295
63	0.00100293	5.97728	-9.96156	19432	14.2461
69	0.0012041	6.10852	-9.69783	23621	14.5278
76	0.00144531	6.24793	-9.4344	28304	14.7887
84	0.00180566	6.39232	-9.11325	34797	15.0867
92	0.00220898	6.52356	-8.8224	42617	15.3791
102	0.00268945	6.67243	-8.53847	52483	15.6796
112	0.00322266	6.80735	-8.27753	63278	15.9494
123	0.00387305	6.94251	-8.01232	75935	16.2125
135	0.00478906	7.07682	-7.70604	92949	16.5042
149	0.005875	7.21917	-7.4112	113896	16.7974
164	0.00710547	7.35755	-7.13685	137284	17.0668
180	0.00859375	7.49185	-6.8625	167520	17.354
198	0.0103906	7.62936	-6.58857	203668	17.6359
218	0.0127422	7.76818	-6.29424	246672	17.9122
240	0.0156094	7.90689	-6.00144	299945	18.1943
264	0.0184062	8.04439	-5.76366	362975	18.4695
291	0.0228437	8.18488	-5.45206	441983	18.7536
320	0.0272969	8.32193	-5.19512	536271	19.0326
352	0.0334687	8.45943	-4.90104	647177	19.3038
387	0.0405937	8.59619	-4.6226	791115	19.5935
426	0.0513438	8.73471	-4.28367	960621	19.8736
468	0.058875	8.87036	-4.0862	1148747	20.1316
515	0.07225	9.00843	-3.79086	1418879	20.4363
567	0.08875	9.1472	-3.49411	1699548	20.6967
623	0.105313	9.28309	-3.24725	2059567	20.9739
686	0.129625	9.42206	-2.94758	2510143	21.2593
754	0.155125	9.55842	-2.6885	3038158	21.5348
830	0.18975	9.69697	-2.39783	3683941	21.8128
913	0.228625	9.83447	-2.12894	4442564	22.083
1004	0.27525	9.97154	-1.86119	5371482	22.3569
1105	0.3365	10.1098	-1.57132	6512816	22.6349
1215	0.407	10.2467	-1.2969	7892826	22.9121
1337	0.49175	10.3848	-1.024	9552707	23.1875
1471	0.6015	10.5226	-0.733363	11613258	23.4693
1618	0.7175	10.66	-0.478949	14121445	23.7514
1780	0.8645	10.7977	-0.210062	16972509	24.0167
1958	1.061	10.9352	0.0854247	20679386	24.3017
