size	result	log2(size)	log2((result))	count	log2((count))
3	3.02792e-07	1.58496	-21.6552	0	-inf
4	5.48363e-07	2	-20.7984	13	3.70044
5	8.71181e-07	2.32193	-20.1305	30	4.90689
6	1.21403e-06	2.58496	-19.6518	49	5.61471
7	1.63555e-06	2.80735	-19.2218	72	6.16993
8	2.1286e-06	3	-18.8417	97	6.59991
9	2.62451e-06	3.16993	-18.5395	126	6.97728
10	3.16429e-06	3.32193	-18.2697	157	7.29462
11	3.85857e-06	3.45943	-17.9835	192	7.58496
12	4.48608e-06	3.58496	-17.7661	229	7.8392
13	5.18799e-06	3.70044	-17.5564	270	8.07682
15	6.75583e-06	3.90689	-17.1754	360	8.49185
16	7.65991e-06	4	-16.9942	409	8.67596
18	9.4986e-06	4.16993	-16.6839	517	9.01402
20	1.16501e-05	4.32193	-16.3893	637	9.31515
22	1.39084e-05	4.45943	-16.1337	769	9.58684
24	1.64642e-05	4.58496	-15.8903	913	9.83447
26	1.94092e-05	4.70044	-15.6529	1069	10.062
29	2.36664e-05	4.85798	-15.3668	1326	10.3729
32	2.8656e-05	5	-15.0908	1609	10.6519
35	3.4668e-05	5.12928	-14.816	1920	10.9069
39	4.33044e-05	5.2854	-14.4951	2376	11.2143
43	5.25513e-05	5.42626	-14.2159	2880	11.4919
47	6.26831e-05	5.55459	-13.9616	3432	11.7448
52	7.55005e-05	5.70044	-13.6932	4189	12.0324
57	9.64355e-05	5.83289	-13.3401	5022	12.294
63	0.000110657	5.97728	-13.1416	6120	12.5793
69	0.000128296	6.10852	-12.9282	7326	12.8388
76	0.000157837	6.24793	-12.6293	8869	13.1146
84	0.000188599	6.39232	-12.3724	10813	13.4005
92	0.000233643	6.52356	-12.0634	12949	13.6606
102	0.000286621	6.67243	-11.7686	15889	13.9557
112	0.000337158	6.80735	-11.5343	19129	14.2235
123	0.000407959	6.94251	-11.2593	23040	14.4919
135	0.000480469	7.07682	-11.0233	27720	14.7586
149	0.000581055	7.21917	-10.749	33726	15.0416
164	0.000700195	7.35755	-10.48	40813	15.3167
180	0.000852051	7.49185	-10.1968	49117	15.5839
198	0.00101367	7.62936	-9.94619	59377	15.8576
218	0.00126465	7.76818	-9.62705	71917	16.134
240	0.00152441	7.90689	-9.35753	87097	16.4103
264	0.00182422	8.04439	-9.09851	105313	16.6843
291	0.00217969	8.18488	-8.84166	127872	16.9643
320	0.00263672	8.32193	-8.56704	154537	17.2376
352	0.00319531	8.45943	-8.28983	186889	17.5118
387	0.00382227	8.59619	-8.03136	225792	17.7846
426	0.00467187	8.73471	-7.74178	273469	18.061
468	0.00559375	8.87036	-7.48197	329917	18.3317
515	0.00676172	9.00843	-7.20839	399360	18.6073
567	0.00828125	9.1472	-6.91594	483912	18.8844
623	0.00990625	9.28309	-6.65745	584040	19.1557
686	0.0120625	9.42206	-6.37333	707929	19.4332
754	0.0145313	9.55842	-6.1047	855013	19.7056
830	0.0177812	9.69697	-5.8135	1035817	19.9823
913	0.0210938	9.83447	-5.56704	1253070	20.257
1004	0.025625	9.97154	-5.2863	1515013	20.5309
1105	0.0309844	10.1098	-5.01232	1834830	20.8072
1215	0.0376563	10.2467	-4.73097	2217960	21.0808
1337	0.0456563	10.3848	-4.45304	2685342	21.3567
1471	0.0548437	10.5226	-4.18853	3250152	21.6321
1618	0.066375	10.66	-3.91322	3931717	21.9067
1780	0.0801875	10.7977	-3.64048	4757917	22.1819
1958	0.097375	10.9352	-3.3603	5756497	22.4568
