size	result	log2(size)	log2((result))	count	log2((count))
3	2.94924e-07	1.58496	-21.6932	1	0
4	9.08852e-07	2	-20.0695	35	5.12928
5	2.29645e-06	2.32193	-18.7322	90	6.49185
6	4.81415e-06	2.58496	-17.6643	170	7.40939
7	9.10187e-06	2.80735	-16.7454	275	8.10329
8	1.71814e-05	3	-15.8288	415	8.69697
9	2.78168e-05	3.16993	-15.1337	598	9.224
10	3.60107e-05	3.32193	-14.7612	797	9.63844
11	6.06995e-05	3.45943	-14.008	1087	10.0861
12	8.56323e-05	3.58496	-13.5115	1403	10.4543
13	8.39844e-05	3.70044	-13.5395	1591	10.6357
15	0.000138306	3.90689	-12.8199	2220	11.1163
16	0.00019165	4	-12.3492	3120	11.6073
18	0.000286621	4.16993	-11.7686	3704	11.8549
20	0.000312012	4.32193	-11.6461	4773	12.2207
22	0.000406006	4.45943	-11.2662	5648	12.4635
24	0.000437744	4.58496	-11.1576	6138	12.5836
26	0.00076709	4.70044	-10.3483	10074	13.2983
29	0.000955566	4.85798	-10.0314	12395	13.5975
32	0.00113281	5	-9.78588	14401	13.8139
35	0.00171484	5.12928	-9.18771	21814	14.413
39	0.00220312	5.2854	-8.82623	29494	14.8481
43	0.00252148	5.42626	-8.63151	31760	14.9549
47	0.00315039	5.55459	-8.31025	40027	15.2887
52	0.00460156	5.70044	-7.76366	57017	15.7991
57	0.00412109	5.83289	-7.92276	53278	15.7013
63	0.00825	5.97728	-6.92139	97751	16.5768
69	0.00934375	6.10852	-6.74178	116718	16.8327
76	0.0129766	6.24793	-6.26795	158652	17.2755
84	0.0130234	6.39232	-6.26275	163443	17.3184
92	0.0218437	6.52356	-5.51664	258199	17.9781
102	0.0192031	6.67243	-5.70252	224822	17.7784
112	0.0297187	6.80735	-5.07248	353527	18.4315
123	0.0335312	6.94251	-4.89835	395432	18.5931
135	0.0375625	7.07682	-4.73456	419289	18.6776
149	0.069875	7.21917	-3.83908	819974	19.6452
164	0.095625	7.35755	-3.38647	1076883	20.0384
180	0.129125	7.49185	-2.95316	1511681	20.5277
198	0.125125	7.62936	-2.99856	1501080	20.5176
218	0.203875	7.76818	-2.29424	2305354	21.1366
240	0.216875	7.90689	-2.20506	2535769	21.274
264	0.3365	8.04439	-1.57132	3780003	21.85
291	0.4	8.18488	-1.32193	4329110	22.0456
320	0.4255	8.32193	-1.23277	4835681	22.2053
352	0.43525	8.45943	-1.20008	5037175	22.2642
387	0.8355	8.59619	-0.259288	9321403	23.1521
426	0.9025	8.73471	-0.148001	10075321	23.2643
468	1.196	8.87036	0.258217	13138863	23.6473
515	1.41	9.00843	0.495695	15533761	23.8889
567	1.689	9.1472	0.756169	17591943	24.0684
623	3.086	9.28309	1.62574	31804338	24.9227
686	3.885	9.42206	1.95791	42527535	25.3419
754	4.453	9.55842	2.15478	49267635	25.5541
830	5.881	9.69697	2.55606	64561889	25.9442
913	10.212	9.83447	3.35219	115443133	26.7826
1004	12.201	9.97154	3.60893	135656233	27.0154
1105	13.899	10.1098	3.79691	149702397	27.1575
1215	25.772	10.2467	4.68773	288378377	28.1034
1337	20.042	10.3848	4.32495	216988799	27.693
1471	40.394	10.5226	5.33607	429415953	28.6778
1618	39.26	10.66	5.29499	425114460	28.6633
1780	62.691	10.7977	5.97019	655618484	29.2883
1958	71.896	10.9352	6.16784	774679016	29.529
