size	result	数据规模	修正算法	count	log2((count))		旧算法		优化算法
3	3.03E-07	1.58496	-21.6552	0	#NAME?		-21.6932		-21.6804
4	5.48E-07	2	-20.7984	13	3.70044		-20.0695		-20.3978
5	8.71E-07	2.32193	-20.1305	30	4.90689		-18.7322		-18.9914
6	1.21E-06	2.58496	-19.6518	49	5.61471		-17.6643		-18.0058
7	1.64E-06	2.80735	-19.2218	72	6.16993		-16.7454		-17.6093
8	2.13E-06	3	-18.8417	97	6.59991		-15.8288		-17.1289
9	2.62E-06	3.16993	-18.5395	126	6.97728		-15.1337		-16.3373
10	3.16E-06	3.32193	-18.2697	157	7.29462		-14.7612		-15.9241
11	3.86E-06	3.45943	-17.9835	192	7.58496		-14.008		-15.5448
12	4.49E-06	3.58496	-17.7661	229	7.8392		-13.5115		-15.394
13	5.19E-06	3.70044	-17.5564	270	8.07682		-13.5395		-14.6643
15	6.76E-06	3.90689	-17.1754	360	8.49185		-12.8199		-14.5897
16	7.66E-06	4	-16.9942	409	8.67596		-12.3492		-14.3103
18	9.50E-06	4.16993	-16.6839	517	9.01402		-11.7686		-13.463
20	1.17E-05	4.32193	-16.3893	637	9.31515		-11.6461		-13.488
22	1.39E-05	4.45943	-16.1337	769	9.58684		-11.2662		-12.9842
24	1.65E-05	4.58496	-15.8903	913	9.83447		-11.1576		-12.771
26	1.94E-05	4.70044	-15.6529	1069	10.062		-10.3483		-12.5218
29	2.37E-05	4.85798	-15.3668	1326	10.3729		-10.0314		-11.9476
32	2.87E-05	5	-15.0908	1609	10.6519		-9.78588		-11.5094
35	3.47E-05	5.12928	-14.816	1920	10.9069		-9.18771		-11.3978
39	4.33E-05	5.2854	-14.4951	2376	11.2143		-8.82623		-11.087
43	5.26E-05	5.42626	-14.2159	2880	11.4919		-8.63151		-10.893
47	6.27E-05	5.55459	-13.9616	3432	11.7448		-8.31025		-10.5778
52	7.55E-05	5.70044	-13.6932	4189	12.0324		-7.76366		-10.0262
57	9.64E-05	5.83289	-13.3401	5022	12.294		-7.92276		-9.93236
63	0.000110657	5.97728	-13.1416	6120	12.5793		-6.92139		-9.36123
69	0.000128296	6.10852	-12.9282	7326	12.8388		-6.74178		-9.50635
76	0.000157837	6.24793	-12.6293	8869	13.1146		-6.26795		-9.08161
84	0.000188599	6.39232	-12.3724	10813	13.4005		-6.26275		-8.75147
92	0.000233643	6.52356	-12.0634	12949	13.6606		-5.51664		-8.49513
102	0.000286621	6.67243	-11.7686	15889	13.9557		-5.70252		-8.14003
112	0.000337158	6.80735	-11.5343	19129	14.2235		-5.07248		-7.96016
123	0.000407959	6.94251	-11.2593	23040	14.4919		-4.89835		-7.65404
135	0.000480469	7.07682	-11.0233	27720	14.7586		-4.73456		-7.25929
149	0.000581055	7.21917	-10.749	33726	15.0416		-3.83908		-6.91594
164	0.000700195	7.35755	-10.48	40813	15.3167		-3.38647		-6.76489
180	0.000852051	7.49185	-10.1968	49117	15.5839		-2.95316		-6.58857
198	0.00101367	7.62936	-9.94619	59377	15.8576		-2.99856		-6.16004
218	0.00126465	7.76818	-9.62705	71917	16.134		-2.29424		-5.92687
240	0.00152441	7.90689	-9.35753	87097	16.4103		-2.20506		-5.5511
264	0.00182422	8.04439	-9.09851	105313	16.6843		-1.57132		-5.34648
291	0.00217969	8.18488	-8.84166	127872	16.9643		-1.32193		-5.09928
320	0.00263672	8.32193	-8.56704	154537	17.2376		-1.23277		-4.75025
352	0.00319531	8.45943	-8.28983	186889	17.5118		-1.20008		-4.51046
387	0.00382227	8.59619	-8.03136	225792	17.7846		-0.259288		-4.17462
426	0.00467187	8.73471	-7.74178	273469	18.061		-0.148001		-3.90509
468	0.00559375	8.87036	-7.48197	329917	18.3317		0.258217		-3.59728
515	0.00676172	9.00843	-7.20839	399360	18.6073		0.495695		-3.46594
567	0.00828125	9.1472	-6.91594	483912	18.8844		0.756169		-3.01377
623	0.00990625	9.28309	-6.65745	584040	19.1557		1.62574		-2.82751
686	0.0120625	9.42206	-6.37333	707929	19.4332		1.95791		-2.52284
754	0.0145313	9.55842	-6.1047	855013	19.7056		2.15478		-2.20008
830	0.0177812	9.69697	-5.8135	1035817	19.9823		2.55606		-1.9964
913	0.0210938	9.83447	-5.56704	1253070	20.257		3.35219		-1.69199
1004	0.025625	9.97154	-5.2863	1515013	20.5309		3.60893		-1.41793
1105	0.0309844	10.1098	-5.01232	1834830	20.8072		3.79691		-1.13844
1215	0.0376563	10.2467	-4.73097	2217960	21.0808		4.68773		-0.863809
1337	0.0456563	10.3848	-4.45304	2685342	21.3567		4.32495		-0.403542
1471	0.0548437	10.5226	-4.18853	3250152	21.6321		5.33607		-0.336428
1618	0.066375	10.66	-3.91322	3931717	21.9067		5.29499		0.0662614
1780	0.0801875	10.7977	-3.64048	4757917	22.1819		5.97019		0.386259
1958	0.097375	10.9352	-3.3603	5756497	22.4568		6.16784		0.577248
