size	result	log2(size)	log2(sqrt(result))	count	log2(sqrt(count))
3	2.83957e-07	1.58496	-10.8739	0	-inf
4	8.48293e-07	2	-10.0845	17	2.04373
5	2.11143e-06	2.32193	-9.42667	61	2.96537
6	2.98691e-06	2.58496	-9.17646	92	3.26178
7	5.60379e-06	2.80735	-8.72258	153	3.62869
8	7.82776e-06	3	-8.48148	212	3.86396
9	1.18408e-05	3.16993	-8.18294	297	4.10716
10	1.38931e-05	3.32193	-8.06763	359	4.24392
11	1.89819e-05	3.45943	-7.84251	464	4.42899
12	2.17743e-05	3.58496	-7.74351	539	4.53707
13	2.72217e-05	3.70044	-7.58244	645	4.66658
15	4.13208e-05	3.90689	-7.28139	940	4.93826
16	4.53491e-05	4	-7.21428	1049	5.0174
18	6.03943e-05	4.16993	-7.00761	1368	5.20893
20	7.72705e-05	4.32193	-6.82986	1722	5.37493
22	9.43604e-05	4.45943	-6.68573	2090	5.51464
24	0.000114014	4.58496	-6.54925	2499	5.64357
26	0.000149292	4.70044	-6.35479	3182	5.81786
29	0.000194946	4.85798	-6.16232	4033	5.98882
32	0.000237549	5	-6.01974	4977	6.14053
35	0.000306152	5.12928	-5.83673	6268	6.30689
39	0.00036792	5.2854	-5.70416	7464	6.43287
43	0.000475586	5.42626	-5.519	9505	6.60724
47	0.000623535	5.55459	-5.32362	12279	6.79195
52	0.000776855	5.70044	-5.16503	15110	6.94161
57	0.000973633	5.83289	-5.00217	18789	7.0988
63	0.00117871	5.97728	-4.86429	22675	7.23441
69	0.00155469	6.10852	-4.66458	29330	7.42004
76	0.00178027	6.24793	-4.56684	34187	7.53058
84	0.00223437	6.39232	-4.40296	42320	7.68453
92	0.00286328	6.52356	-4.22406	53379	7.85199
102	0.00356641	6.67243	-4.06566	66509	8.01063
112	0.0045625	6.80735	-3.88798	84068	8.17963
123	0.00533594	6.94251	-3.77502	99611	8.30201
135	0.00675391	7.07682	-3.60503	123076	8.45459
149	0.00815625	7.21917	-3.46894	150142	8.59798
164	0.0101797	7.35755	-3.30908	184885	8.74813
180	0.0129297	7.49185	-3.13658	233337	8.91603
198	0.01625	7.62936	-2.97171	287474	9.06654
218	0.020125	7.76818	-2.81743	359411	9.22764
240	0.0245469	7.90689	-2.67416	434822	9.36503
264	0.0299219	8.04439	-2.53133	531539	9.50991
291	0.0369688	8.18488	-2.37877	651523	9.65673
320	0.04325	8.32193	-2.26558	770108	9.77735
352	0.0570937	8.45943	-2.06526	1004247	9.96884
387	0.071875	8.59619	-1.89918	1242997	10.1227
426	0.0850625	8.73471	-1.77767	1510053	10.2631
468	0.104438	8.87036	-1.62964	1827998	10.4009
515	0.13425	9.00843	-1.4485	2312322	10.5705
567	0.156125	9.1472	-1.33961	2728942	10.69
623	0.188875	9.28309	-1.20225	3303393	10.8278
686	0.24025	9.42206	-1.0287	4158961	10.9939
754	0.30625	9.55842	-0.853609	5268235	11.1644
830	0.3535	9.69697	-0.750109	6197320	11.2816
913	0.4425	9.83447	-0.588125	7608441	11.4296
1004	0.543	9.97154	-0.440488	9383379	11.5808
1105	0.639	10.1098	-0.323056	11029387	11.6974
1215	0.8055	10.2467	-0.156022	13896743	11.8641
1337	1.008	10.3848	0.00574782	17217617	12.0187
1471	1.272	10.5226	0.173549	21492214	12.1787
1618	1.555	10.66	0.318457	26178182	12.3209
1780	1.917	10.7977	0.469425	32390881	12.4745
1958	2.189	10.9352	0.565136	37500252	12.5802
