size	result	log2(size)	log2(sqrt(result))	count	log2(sqrt(count))
3	3.71933e-07	1.58496	-10.6792	1	0
4	9.90868e-07	2	-9.9724	11	1.72972
5	2.33078e-06	2.32193	-9.35538	24	2.29248
6	4.52042e-06	2.58496	-8.87756	38	2.62396
7	8.85773e-06	2.80735	-8.39232	57	2.91645
8	1.47934e-05	3	-8.02234	76	3.12396
9	2.44904e-05	3.16993	-7.65871	101	3.32911
10	3.28674e-05	3.32193	-7.44649	130	3.51118
11	5.4657e-05	3.45943	-7.07962	155	3.63806
12	7.37915e-05	3.58496	-6.86309	186	3.76958
13	7.37915e-05	3.70044	-6.86309	220	3.89068
15	0.000127441	3.90689	-6.46894	276	4.05426
16	0.00016333	4	-6.28996	356	4.23787
18	0.000209473	4.16993	-6.11048	379	4.28303
20	0.000270264	4.32193	-5.92667	492	4.47126
22	0.000357422	4.45943	-5.72504	539	4.53707
24	0.000384277	4.58496	-5.67278	612	4.62869
26	0.00069043	4.70044	-5.25011	804	4.82553
29	0.000753906	4.85798	-5.18666	929	4.92977
32	0.0014541	5	-4.71283	1342	5.19508
35	0.00149414	5.12928	-4.69323	1408	5.22972
39	0.00201758	5.2854	-4.47658	1763	5.39191
43	0.00225977	5.42626	-4.39481	1925	5.45532
47	0.00290039	5.55459	-4.21477	2286	5.5793
52	0.00356055	5.70044	-4.06684	2713	5.70284
57	0.00395313	5.83289	-3.9914	2967	5.76739
63	0.00773437	5.97728	-3.50725	4119	6.00404
69	0.00842188	6.10852	-3.44582	4575	6.07978
76	0.0106875	6.24793	-3.27397	5400	6.19937
84	0.0130781	6.39232	-3.12835	6404	6.32238
92	0.0189531	6.52356	-2.86071	8233	6.5036
102	0.021875	6.67243	-2.75729	9236	6.58653
112	0.0272031	6.80735	-2.60004	10901	6.70609
123	0.0301406	6.94251	-2.52607	12682	6.81525
135	0.04025	7.07682	-2.31743	14547	6.91422
149	0.0665625	7.21917	-1.95457	19037	7.10826
164	0.0836875	7.35755	-1.78942	22563	7.23084
180	0.10275	7.49185	-1.64139	27630	7.37697
198	0.13225	7.62936	-1.45933	30278	7.44299
218	0.20375	7.76818	-1.14756	39425	7.63341
240	0.29425	7.90689	-0.882443	48846	7.78798
264	0.35775	8.04439	-0.741488	57592	7.90679
291	0.3145	8.18488	-0.834434	62395	7.96457
320	0.3995	8.32193	-0.661866	73636	8.08406
352	0.562	8.45943	-0.415679	91925	8.24408
387	0.897	8.59619	-0.0784101	118180	8.42531
426	0.837	8.73471	-0.12835	129715	8.49249
468	1.267	8.87036	0.170708	158096	8.63522
515	1.75	9.00843	0.403677	195272	8.78756
567	1.605	9.1472	0.341287	209062	8.83679
623	3.729	9.28309	0.949394	305336	9.11002
686	4.122	9.42206	1.02167	337406	9.18206
754	4.37	9.55842	1.06382	391464	9.28926
830	5.331	9.69697	1.2072	460286	9.40609
913	5.303	9.83447	1.2034	534575	9.51402
1004	12.561	9.97154	1.82544	734593	9.74329
1105	10.66	10.1098	1.70707	793208	9.79867
1215	19.01	10.2467	2.12434	989475	9.95815
1337	45.732	10.3848	2.75757	1464074	10.2408
1471	43.982	10.5226	2.72942	1642407	10.3237
1618	40.692	10.66	2.67334	1763616	10.3751
1780	59.283	10.7977	2.94477	2159806	10.5212
1958	71.839	10.9352	3.08335	2579484	10.6493
