size	result	log2(size)	log2(sqrt(result))	count	log2(sqrt(count))
3	2.85864e-07	1.58496	-10.8691	0	-inf
4	8.36849e-07	2	-10.0943	17	2.04373
5	2.28119e-06	2.32193	-9.37089	61	2.96537
6	4.31061e-06	2.58496	-8.91184	115	3.42275
7	5.40161e-06	2.80735	-8.74909	145	3.58995
8	7.46155e-06	3	-8.51605	179	3.74191
9	1.24359e-05	3.16993	-8.14756	269	4.03573
10	1.67084e-05	3.32193	-7.93453	372	4.26958
11	2.16217e-05	3.45943	-7.74858	388	4.29996
12	2.36664e-05	3.58496	-7.6834	432	4.37744
13	3.86353e-05	3.70044	-7.32986	806	4.82732
15	4.07715e-05	3.90689	-7.29104	807	4.82821
16	4.88281e-05	4	-7.16096	1092	5.04638
18	8.39233e-05	4.16993	-6.77028	1382	5.21627
20	8.31299e-05	4.32193	-6.77714	1700	5.36566
22	0.000114441	4.45943	-6.54655	1998	5.48217
24	0.000133301	4.58496	-6.43651	2500	5.64386
26	0.000157837	4.70044	-6.31464	2749	5.71235
29	0.00022583	4.85798	-6.05624	3877	5.96036
32	0.000294922	5	-5.86369	4702	6.09953
35	0.000338867	5.12928	-5.7635	5874	6.26006
39	0.000422363	5.2854	-5.60461	7613	6.44712
43	0.000492676	5.42626	-5.49354	8529	6.52908
47	0.000592773	5.55459	-5.36012	10439	6.67485
52	0.000875488	5.70044	-5.07881	14537	6.91372
57	0.000938477	5.83289	-5.0287	15326	6.95185
63	0.00136914	5.97728	-4.75626	20736	7.16993
69	0.00129102	6.10852	-4.79864	21882	7.20873
76	0.00173633	6.24793	-4.58487	29717	7.4295
84	0.00216797	6.39232	-4.42472	36041	7.56868
92	0.00257422	6.52356	-4.30082	42885	7.69409
102	0.00330273	6.67243	-4.12106	49844	7.80257
112	0.00375	6.80735	-4.02945	60889	7.94695
123	0.00467969	6.94251	-3.86969	77130	8.1175
135	0.00609766	7.07682	-3.67876	93445	8.25591
149	0.00783594	7.21917	-3.49784	118376	8.42651
164	0.00853906	7.35755	-3.43585	130837	8.49871
180	0.00985938	7.49185	-3.33214	159899	8.6434
198	0.0129141	7.62936	-3.13746	201701	8.81093
218	0.0157109	7.76818	-2.99604	236718	8.9264
240	0.0201719	7.90689	-2.81576	300325	9.09808
264	0.0230937	8.04439	-2.71818	345769	9.19972
291	0.0274844	8.18488	-2.59262	421924	9.34331
320	0.03525	8.32193	-2.41312	525965	9.5023
352	0.0412812	8.45943	-2.29918	626039	9.62795
387	0.0520625	8.59619	-2.13181	778557	9.78522
426	0.06275	8.73471	-1.99712	947537	9.92691
468	0.077125	8.87036	-1.84833	1132547	10.0556
515	0.0860625	9.00843	-1.76924	1283370	10.1458
567	0.111937	9.1472	-1.57962	1614307	10.3112
623	0.128625	9.28309	-1.47938	1940650	10.4441
686	0.159125	9.42206	-1.32588	2326049	10.5747
754	0.20225	9.55842	-1.15289	2978136	10.753
830	0.234	9.69697	-1.04771	3459548	10.8611
913	0.30025	9.83447	-0.867882	4422469	11.0382
1004	0.346	9.97154	-0.765578	5185168	11.153
1105	0.42825	10.1098	-0.611737	6277376	11.2909
1215	0.5345	10.2467	-0.451869	7701088	11.4383
1337	0.709	10.3848	-0.248071	9898079	11.6194
1471	0.7545	10.5226	-0.203204	11318130	11.7161
1618	0.956	10.66	-0.0324587	13898246	11.8642
1780	1.133	10.7977	0.0900739	16531996	11.9894
1958	1.383	10.9352	0.233901	20178416	12.1332
