size	result	log2(size)	log2(sqrt(result))	count	log2(sqrt(count))
3	3.62635e-07	1.58496	-10.6975	1	0
4	9.11713e-07	2	-10.0325	11	1.72972
5	2.05231e-06	2.32193	-9.44716	24	2.29248
6	3.41034e-06	2.58496	-9.08083	36	2.58496
7	6.00815e-06	2.80735	-8.67232	50	2.82193
8	9.23157e-06	3	-8.3625	66	3.0222
9	1.35117e-05	3.16993	-8.08772	85	3.2047
10	1.86615e-05	3.32193	-7.85479	105	3.35712
11	2.41394e-05	3.45943	-7.66913	129	3.50561
12	3.03345e-05	3.58496	-7.50434	153	3.62869
13	3.91235e-05	3.70044	-7.3208	180	3.74593
15	5.71594e-05	3.90689	-7.04732	241	3.95644
16	6.87866e-05	4	-6.91376	273	4.04638
18	8.92334e-05	4.16993	-6.72603	343	4.21103
20	0.000114197	4.32193	-6.5481	423	4.36226
22	0.000146851	4.45943	-6.36668	512	4.5
24	0.000179443	4.58496	-6.22209	606	4.62159
26	0.000212646	4.70044	-6.09963	712	4.73787
29	0.000273438	4.85798	-5.91825	882	4.89232
32	0.000341797	5	-5.75729	1070	5.0317
35	0.000424316	5.12928	-5.60129	1278	5.15984
39	0.000538574	5.2854	-5.42928	1582	5.31377
43	0.000682617	5.42626	-5.25832	1916	5.45194
47	0.000802734	5.55459	-5.14139	2285	5.57899
52	0.000990234	5.70044	-4.98997	2790	5.72302
57	0.00121582	5.83289	-4.84193	3344	5.85368
63	0.00149512	5.97728	-4.69276	4077	5.99665
69	0.00181055	6.10852	-4.55468	4878	6.12604
76	0.00236914	6.24793	-4.36071	5908	6.26423
84	0.00287109	6.39232	-4.22209	7204	6.40729
92	0.00349805	6.52356	-4.07962	8626	6.53724
102	0.00430859	6.67243	-3.92928	10587	6.685
112	0.00527344	6.80735	-3.78352	12747	6.81894
123	0.00641797	6.94251	-3.64183	15355	6.95321
135	0.00815625	7.07682	-3.46894	18476	7.08668
149	0.00983594	7.21917	-3.33386	22481	7.22821
164	0.0122891	7.35755	-3.17324	27203	7.36574
180	0.0152891	7.49185	-3.01568	32739	7.49936
198	0.0189687	7.62936	-2.86012	39576	7.63617
218	0.0232344	7.76818	-2.7138	47940	7.77447
240	0.0283438	7.90689	-2.57041	58056	7.91258
264	0.0352188	8.04439	-2.41376	70204	8.04963
291	0.0448438	8.18488	-2.23947	85243	8.18965
320	0.0571875	8.32193	-2.06408	103017	8.32626
352	0.0729375	8.45943	-1.8886	124575	8.46333
387	0.089375	8.59619	-1.74199	150518	8.59979
426	0.116062	8.73471	-1.55351	182310	8.73802
468	0.141125	8.87036	-1.41248	219936	8.87336
515	0.17675	9.00843	-1.25011	266226	9.01115
567	0.2295	9.1472	-1.06172	322600	9.14969
623	0.29225	9.28309	-0.887363	389350	9.28535
686	0.373	9.42206	-0.711376	471939	9.42412
754	0.4625	9.55842	-0.556237	570000	9.5603
830	0.601	9.69697	-0.367282	690532	9.69867
913	0.783	9.83447	-0.176458	835370	9.83603
1004	1.005	9.97154	0.00359775	1009997	9.97296
1105	1.251	10.1098	0.161541	1223202	10.1111
1215	1.61	10.2467	0.34353	1478628	10.2479
1337	2.151	10.3848	0.552504	1790212	10.3858
1471	2.775	10.5226	0.736244	2166758	10.5236
1618	3.597	10.66	0.923397	2621135	10.6609
1780	4.683	10.7977	1.11372	3171928	10.7985
1958	6.104	10.9352	1.30488	3837652	10.9359
